AACCDU;DIIOTT,EIRTUV,ELRTTU,IILNOT
AACCEL;EEKLNS,EIILPR,EIIPRZ,ILPRSS
AACCHK;
AACCHM;EELNTU,ELNTYY
AACCHN;
AACCIL;BDEERT,BGJKKN,DDIOPR,DEHTXY,DLLTYY,EEERTV,EEILPR,EEIPRZ,EIPTVY
AACCIM;GNNOPY
AACCIN;AENQTU,BGJKKL,BIKKKT,EGNTTU,GIKKPP,GIRRTU,GMNOPY
AACCKR;
AACCLO;DIINTU,IMNTUU
AACCLP;BEHHRY,EEENRR,EEIILR,EEIIRZ
AACCLR;BDEEIT,BDHTYY,BEHHPY,EEIILP,EEIIPZ,EGHIIP,GHIILP
AACCMO;BDELMO,BEILLV,DEILRT,DMOORT,EILMRT,EILNPT,ELNRRU,GIILRT,IILRTT,ILNNOT,ILNTUU,LPRTTU
AACCNN;AEIQTU,AIIPTT,CEEPTU,DDINOY,DEITUV,EGITTU,GIIOPT
AACCOS;EHINOX,ENOPUY,ENORSY
AACCRT;BLNOTY,DMMOOO,LMOPTU,LNPUUU
AACCSY;ACDILL,ADHIRT,AHILPT,BDEILL,BEKRTT,DEILOP,EEKLLN,EHILNR,EILTUV,EKLLNO,ELLORU,ELNNRT,ENOOPU,FILLRU,HIINRT,HILNOT,HOPPRU,IILLST,IKKORT,ILLNOO,ILLORT,ILMNPU,IMNOPT,INOORS,INOPRT,LMNOPU
AACDDU;BBENRS,BEGKLR,BEINRR,EEILSS,EEILSZ,GIIJNT,IIJNOT
AACDEF;
AACDEI;
AACDEL;
AACDER;
AACDEU;ANNOPS,BBDNRS,BDGKLR,BEILNQ,BILORV,CHMORS,GHNNOR,HLMOSY,HNOPPR,INOPSS
AACDFR;EMNTUU,ORRRWY
AACDGI;AELMOR,AIMMNZ,AIMMRT,AIMPRT,BEKLLN,BEKLNP,DELLOO,DIJNTU,DKNPWY,EINPTT,EINTTV,ELLOOP,ELMNOY,ELPQRU,IMNOTT
AACDHR;GHOOPT
AACDHS;
AACDHT;BCLRYY,GHOOPR
AACDIR;
AACDLU;CERTTU,EHMOSY,GIILOO,GIIRST
AACDMP;AGIIRT,ALMNOY,IILLOT
AACDNR;
AACEFI;DHNRRT,EGORRR
AACEFL;CINRSS,IIOSSS
AACEFR;
AACEGH;ALORRT,BILPTY,CEILMP,CIILPR,DILRTV,HPRRTY,IILPPR,ILLMPT,ILLOOT,ILLPRR,ILMOOT,IMOPTT,OPRRRT
AACEHP;
AACEHR;
AACEHT;
AACEIL;BHITTY,BLLLTY,BLPRRY,FIOSSS,HQRRSU
AACEJR;AILMOW,EEMNTT,HILMMP
AACELN;
AACELP;
AACELS;
AACELT;
AACEMO;ADGILR,AIJLRW,BCDLMO,BCILLV,BCIRTY,CHLPRY,DHIMNY,GHHIRR,GHIPTT
AACEMR;
AACENN;AHHMST,BDGIKR,CEHHPP,CHORRT,CLRSTY,DGHORU,DGIPRS,GGHIPR,KORSTU,PRRSTY
AACENP;
AACENR;BCOOSU,COOSSY
AACENT;
AACERS;
AACERT;
AACEST;
AACESU;BBCMOO
AACETU;
AACETV;
AACETX;AGNRVY,AILNRR,CDHILY,DDIORR,EHIMNT,GILLOR,HILMOY
AACFIL;GIINTT,IIMORR
AACFIS;AMNNOR,BMOORR
AACFLO;ACIINR,ENNRRT,GGIMNU,IIIMRR,IINNNN
AACFLU;
AACFNT;ALMRUU,BLOORU,ELNORR
AACFRS;AIMNNO,AJLMNY,BIMOOR
AACFRX;
AACGGM;EEINOT,FILNOU,HINOTY
AACGHN;BILOOP,CIINNT,DFINRT,DIINPP,GIMOTY,IIIRRV,IILPTZ,IINOPT,ILLOOT
AACGIM;EHMOSS,EIRSST,GHNOTY
AACGIN;BCJKKL,CIKKPP,DDKPWY,DHINPP,HHKLMS,HOPRRU
AACGIR;BCKKNT,CLLOOP,DELPQU,DILLOO,KLLOOY
AACGIU;DELPQR
AACGLY;AGILNO,AGILOP,BDKLRU,BEHIPT,CHHOPR,CHIOPT,HIMOPR
AACHHL;BCEPRY,BIITTY,CGOPRY,EIIMOP
AACHKN;
AACHKP;
AACHKR;
AACHKW;
AACHLL;AILMTY
AACHLN;
AACHLS;
AACHLT;BCDRYY
AACHMN;AEIILV,CEELTU,DEIMOY
AACHMS;GMOOSU
AACHMT;CEELNU,EEELNP,GIRTUU
AACHNO;CIILTT,CIINNT,HIORTX
AACHNR;
AACHNS;
AACHNT;BEOORY,CENORR,EMMOOR
AACHNZ;GIILPT
AACHPS;COPRUY,GOOPRU,GOOSTU
AACHRS;COPPUY
AACHRT;ALLPYY
AACHSW;DEEHTT
AACHSY;ACILPT,BDEORR,BEIPRR,BELNRU,CEILNR,CIINRT,COPPRU,DDEERT,EILLPR,EINPPR
AACHTT;BHIILY,BIIMOR,CIILNO,GIMRUU,IINRRT
AACHTW;IKORSU
AACIJM;EHLMPR
AACILL;ELLOPV,QRTUUU
AACILM;
AACILP;CEEIRZ,GILMOX
AACILR;
AACIMN;AAGMRT
AACIMS;BFOORR,MOPTTY
AACINR;
AACINS;
AACIOT;EGHLLO,EGILLO
AACIPR;CEEILZ
AACIPS;BEINUV
AACIPT;
AACIRV;
AACISS;
AACIST;
AACITV;
AACITX;CDEHLY,DDEORR,EEHMNT,EGLLOR
AACJKL;
AACJLS;AFMNRY
AACJOU;DDIINT
AACKLP;IORTYY
AACKPZ;
AACKRR;
AACKRW;HIOSTU
AACKSY;CEELLN,CELLNO,CIKORT,GILNRT,ILMOPR
AACKTT;
AACLLN;
AACLLS;
AACLLU;AQRTUU,IQRTUU
AACLMT;EEHRTY
AACLMU;
AACLNO;
AACLNR;
AACLNS;
AACLNT;BCKRRU,BFOORU,CPRUUU
AACLNU;FGGIMO,HHOOTT
AACLOS;EGLPSW
AACLOT;
AACLOX;ENRSTU
AACLPR;
AACLPS;
AACLPU;CNRTUU
AACLRS;
AACLRW;AEIJMO,BEIMOV
AACLSU;
AACLTU;ALQRUU,BCKNRR,CNPRUU,ILQRUU
AACMNR;CDEEKR,CEGIIL,EEEJTT,EEHTTT
AACMNS;BDKOOW
AACMNY;HLMOOP
AACMOY;ADLMNP,BDIILN,CEHILP,DEGILN,DEHIMN,EEHRRT,EGHPRR,EHILTX,GGHINT,HHILPT,HIMNNP,HLMNOP,IITTTU,IMNORT,INNOPW
AACMRT;CEIILZ,EHIILT,EIILLT
AACMSS;GHMOOU
AACMSW;BBEGOR,BDKNOO,BDKNOR,EHIRRR
AACNNS;AEGILL,AEHHMT,DEGIPR,DEIIIM,DIMOOR,DRTTTU,EIIMOX,EKORTU,EPRRTY
AACNOR;AEGNPY,ANNTTT,BCEOSU,BLSTTY,BLSTUY,CCEGYY,CEOSSY,CEOTTV,CFSTTU,ERRTUV
AACNPT;
AACNRT;BCLOTY
