AABIRR;ABN,BES,BEZ,BMS,BTY,CDE,CEN,CNY,EGG,EGN,EGT,EGU,EKN,ENV,ETT,FNT,GGN,GNT,HPV,ILN,LOV,LSU,RTY
AABIRS;APS,HIW
AABIRZ;DHO,GIN,HIL
AABISS;BCT,BRU,CIL,DLU,EEM,EIM,EKL,ELL,ELN,EMS,ENO,ESS,GMU,INO,IPT,LRU,MRU,TUZ
AABIST;ACS,AKS,BEZ,CDE,EOU
AABISW;ELL,HIR
AABISZ;BET,CCH
AABJNS;EOZ,LMO
AABJNX;GIN
AABJRS;
AABKMT;
AABKNN;
AABKNR;BCR,BDE,CEE,EFL,EIR,GIP
AABKNS;ADT,BCD,CDH,CDL,CLO,CLY,LOO,OTU
AABKRS;LLP
AABKSU;HHI,NOT
AABLLN;CDK
AABLLO;BIO,HWX,LWY
AABLLR;CKT,STU,SYY,TUY
AABLLT;AIV,BEU,CEO,CII,CIK,CKR,DIY,EEG,EEL,EER,EFO,EIL,EIR,ERY,IIY,RUY
AABLMR;ACO,AEL,CEG,CEI,CEM,CEO,DEI,DHO,DIY,EEP,EIN,EMN,III,IOP
AABLMS;GNU,JNO,LLP,OOP
AABLNS;AGY,CKO,CKY,FGH,GMU,GOW,JMO,KOO,MOR,MTU
AABLOR;ACM,CCH,CMY,CUV,DDN,DHM,DIS,DKW,EFV,EGK,EGN,ENN,FVY,GOR,IMP,IMS,IPS,IRV
AABLOV;CRU,DEI,DIY,EFR,EPR,FRY,IRR
AABLRZ;AHT,CEO,EIN,EOR,HII
AABLSS;CHK,CII,CKP,CRU,DIU,HLW,IRU,SUV
AABLST;CFK,CKK,DNP,DOO,FOT
AABLTU;KOW
AABMMS;BOZ,EXY
AABMNR;CIO,ELM,ETT,IOS
AABMNS;DLU,JLO,LOR
AABMNT;CEI,ERT
AABMNY;LTU
AABMOS;BMZ,CCT,CDU,DDR,GRR,JLN,LLR,LNR,LOP
AABMOY;CLR,EMX,ILP
AABMPS;CKT,EER,ILT,LLL,LOO
AABMRS;CET,CEV,DDO,EKN,GOR
AABMRY;DIL,LNO
AABMSS;AEG,DEE,EEG,EEI,EII,EIS,GIU
AABMST;EGT,EOT
AABNNY;CDU
AABNOR;AEI,CEI,CET,CIM,CIN,ELN,GIU
AABNSS;BDE,CKP,DKN,EIO,IIO,IOR
