AAABC;BIJOT
AGHRT;ACHOP,ACHPY
AGHSS;ADIPY,AIKPR
AGHST;
AGHSU;DENOZ,EGOOP,EOOPX,MMOOO,MOOOP,OOOPZ
AGHTU;AAIOP
AGHUW;
AGIIT;CEOTV,CINNZ,CINTZ,CNOOT,EEMNN,EEMNZ,EHLOZ,EHNPP,EMNNO,ENPPZ,HMNNU,NNNUV
AGIIV;CEOTT,CHLRT,EFRTU,EIMTT,EIRRT,ENTUX,ERTTY,MNOTT,NNNOT,NNNTU,NPRTY
AGIJR;ACCKN,CENTT,INOVZ,LNNOU
AGIKL;CEFRU,CEKOR,CILPR,DEEGR
AGIKN;
AGILL;AIKNS,AIKNZ,AINTT,ASTTY,DIIRS,FHHST,HIMTY,IRTTY,OOSSS
AGILN;
AGILO;
AGILR;
AGILS;
AGILU;CDIOO,COOTT
AGILW;HPRTY
AGILY;HOPPS
AGIMN;
AGIMO;ABRTY,AGORT,BJKKN,BKKNO,BOTTW,DDGMN,EHKMN,EHMPR
AGIMS;
AGINN;
AGINO;EELLL
AGINP;
AGINR;
AGINS;
AGINT;
AGINW;
AGINX;AEHNY,BOOPS,CEGHN,HPSYY
AGINZ;CIITT
AGIOP;AAEHR,AAHMN,AAHTU,ADHRR,ADHRU,AELRZ,AHLPY,CCHII,CCHTY,CDDKN,CFINY,CFLRY,CHHRR,CHLLO,CHORR,CHORZ,CHRRU,CINNZ,CINVW,CLLRY,CORTV,EHHLR,EHMMR,ELMYZ,HHPPY,HIMRU,HLPRY,MMNTU,NTTUY
AGIOR;AAEHP,ABMTY,ADHPR,BDDEE,BDEHW,EHMMP
AGIOS;DHKOW
AGIPR;CFLOY,COOTV,HHLOT,HLOPY,HLTWY
AGIRS;
AGIRT;AGMOO
AGIRV;AALMR,CHILT
AGIST;
AGISV;
AGISY;BCGKP,CCEGL,CEHLP,CIORT,CLLRU,CORTT,DEHPS,HLOPP
AGITT;CLOOU,DIINO,EEEVV,EGLNN,EIRVY,ELLOP,HKMRU,HLLRU,HLRRU,ILLRY
AGITU;GJLNU
AGJLU;ACINT,BIINT,DEMNT,INNOR,INNTY
AGJOS;BERTU,BIKMN,BINNW,BRTUU,CENTU,CGHNU,CNNTU
AGKLN;ABEFR
AGKLO;EEEPR
AGKNR;ABEFL
AGKNS;
AGKNY;AIJLW,AILMP,HIMMT
AGKOP;BCHLU,CCEIN,CDDIN,CINRR,EEELR
AGKOS;AMRRY,EHMRT,JNRRU
AGKSS;ACRRW,AHIPR,BCHIT,CFILT,CNNUY,EEEKP,LPPRU
AGKSU;AEEMQ,CINNP,CINNT,DEMRR,EINNP,EINPP,ILNPT
AGKSW;ACRRS,AEEHL
AGKWY;AIMNR
AGLLS;AAIRT,ACOTY,AITTY,CHIRR,CIIPR,DIIIR,FHHIT,HIITT,HIMPT,IIMMR
AGLLY;ACOST,AISTT,CHIOT,CIIOT,CJNOU,COSUU,HIIMT
AGLMO;AEENP,EHOOT,ENOOV
AGLMS;ACILR
AGLMU;
AGLNO;
AGLNR;HOOOT
AGLNS;
AGLOO;ACLMY,BCIIL,CCEIL,CCGHI,CDIIU,CEGHU,CEGIL,CEHIU,CFILU,CGHII,DDEHI,DDEHY
AGLOP;AHIPY,BCHKU,CCHRY,CFIRY,EGHTU,MPRUU
AGLOR;CCHPY
AGLOS;BDDEL
AGLOT;ANRRU
AGLOV;
AGLOW;
AGLPY;CCHOR,CFIOR,EEHRT,EHIRX,EHJLR,ENNRT,HIRTW
AGLRU;
AGLRY;CCHOP,HHOOP,HMMOP,HOPST
AGLSS;
AGLSU;
AGLSY;CIORU,CLOUU,MOOOT,MOOOU
AGLTU;ABIMN,ABINT,ACOOR,ADIRY,AGINN,AINNO,AINPR,AINRR,ANORR,BIIJN,BINOZ,BINTU,CIILR,CIOOT,DIMNO,DINNU,DIORV,GIINN,GIINR,GIJNU,GINNN,GINOR,IIMNR,IIMNT,IINNP,IJNOU,IKNOT,IMNNN,INOPP
AGLYY;CDOTZ,DEILN,INNNO,INNOP,LNOOP
AGLYZ;CDOTY,EIMOP
AGMMU;AEPPW
AGMMY;ACHOS,CIINR
AGMNO;
AGMNS;
AGMNU;
AGMNY;DLOOO
AGMOP;AAHIN,AEELN,AHMMR,AIINR,BEHLR,EHIMR,EILNO,ILNNO,IMNTU
AGMOR;AGIOT,AHMMP,CHMOR
AGMOS;
AGMOT;ABIRY,BIOTW,CCIIR,CEETY,DEEIR,EHLOO,HNOPY
AGMPR;BEHLO
AGMPS;
AGMRS;IILLM
AGMRU;ACHLU
AGMSU;AAASS,AEEKQ
AGMTU;ABILN,CIINP,DHIKR,DILNO,ELLRY,HIKRT,IMNOP
AGMUY;ADRRT,BILOS,FIORT,GOSST,LOOOS,LOOPS
AGNNO;
AGNNW;CEESY
AGNOP;AAHIM,AHPTY,CCEIK,CFIIY,CIINZ,CIIVW,CNPUY,EHHPR,EMMRU,HHOPR,IMMTU,ITTUY
AGNOR;HHOPP,HLOOT
AGNOS;
AGNOT;HLOOR,HMOPY
AGNOU;IMNNW
AGNOW;ABINT
AGNOY;AHPPT,BELLO,BHIOP,CFIIP,DIMOS,EEGMT,EGLLO,IPTTU
AGNOZ;BCHRY,DEELR
AGNPR;CDMOU,DLOUY,EHHOP,EHOVY,EMMOU,HHOOP
AGNPS;
AGNPU;ADILP,BDIIR,BEELX,BEILM,CDIMP,CDMOR,CEENR,CENRY,CNOPY,EILLR,EILRV,EMMOR,INPRW
AGNRR;
AGNRS;
AGNRT;
AGNRW;
AGNRY;
AGNSS;
AGNST;
AGNSU;
AGNSV;
AGNSW;CEENY
AGNSY;ADFFH
AGNTU;GIILR,GIJLU
AGNTW;EEMNO
AGNTY;AHOPP,CEFII,CFIIK,DIIMN,EEGMO,HMOOP
AGOOZ;CHIPR,CILLO,DEKRY,EHPRR
AGOPR;AAEHI,ABEHO,ACCHY,ACEHM,AHMMM,CCHLY,CFILY,CHHIR,CHIOR,CHIOZ,CILLY,DHHRY,EHIMM,EHNVY,EHORR,EHORZ,GHHRY,HHNOP,HPRYY,LLLOY,LOPYY
AGOPS;ACHTY,HOOUZ
AGORS;
AGORT;AHILY
AGORU;
AGORY;AAABK,ACCHI,ACCHP,AHILT,BCHLY,BFILV,BHORU,BILOT,BLLLU,CCHLP,CFILP,CILLP,DEHIP,DHHPR,DHOPX,EHHPT,GHHPR,HHLOP,HPPRY,LLLOP,LOPPY
AGOSS;ABESS,DIMMT,DIMTT,FITTT,IIMMT
AGOST;
AGOSY;ACHMM,ACHPT,ACINT,ACLLT,ADILN,AEPTT,ALNOT,BILNT,CEHPT,CELOP,CLLUU,DHLPU,EHLPT,EHLPX,EHOPU,HILPP,KLMNO,LMOOT,LMOOU
AGOTT;BCIMN,BILOS,BIMOW,CIINO,CIMNT,DIIIN,HILRS,IIIMN,IIMNV,ILMOS
AGOTV;CEHPR,CIOPR,EEGNR,EENNR
AGOTY;ABIMR,ACHPS,AEPST,AHNPP,BEINN,CCHIP,CIIRS,EEHMR,EHMNS,HHPPY,HMNOP,HMOPR,IIMRT,MNORS
AGOYZ;BCHNR,BCILN,CDLTY,DEKOR,IILNR,ILNTU
AGPPY;AHILO,AHIRS,AHNOT,CNNOU,HHIOP,HHOTY,HILOS,HORRY,LOORY
AGPRS;AAALT
AGPRY;ACCHI,ACCHO,ACHHT,ADHIS,AHIPS,AHOTU,CCHLO,CFILO,DHHOR,DHOOX,DLNOU,HHLOO,HILTW,HLOST,HOPRY,LLLOO,LOOPY
AGPSS;ADHIY,AHILU,AILLW,DEHIY,EHMOO
AGPSU;BOOTT,CDEEO,DEEGO,DEIMO,DHLOY,EGHOO,EHOOX,EHOOY,HIOPX,HMOOO,HOOOZ,LMOOY
AGPSW;AAESY,ELLNO
AGPSY;ACHMR,ACHOT,AHIPR,BCGIK,CEHOT,CHOPR,CMORT,DEHIS,EEHRR,EHIRR,EHOOU,EOORZ,EORRT,HOPRT
AGQSU;AEEKM,AEIIL,BEHUU,EEETU,EEIMN,EGINS,IINNT
AGRSS;ADIII
AGRST;
AGRSU;
AGRSV;
AGRSY;
AGRTU;
AGRUU;AEINT,EGJNT,EMMNT,LMOPP
AGRVY;BFILO
AGSST;
AGSSU;AAAMS,FIIMT,GMOTY
AGSSW;ACKRR,ACLLY,AILLP,AORRR,DJRTU,FNOPR
AGSSY;ADHIP,DEHIP,EIMOT
AGSTY;ACLLO,ALMOP,CCOUZ,CIIOR,CIMOZ,CMOPR,LMOOO
AGSUV;IIMNS
AGSUY;CCILN,CDENO,CLLOU,GMOST,LMOOO,LMOOP
AGSWY;AAEPS,ACEKR,CEEKR,CEENN,EHLNT,ENORR
AGTTU;
AGUWY;EINNR,HHORT,HHOTT
AGUYZ;
AGYYZ;CDLOT,INSTY
AHHIT;ABMVZ,BEOOP,CCNRU,CENNP,CENOP,CENOR,CEOPT,CIPRU,COPPS,EEENZ,ENOPR,ENRWY,FGLLS,GLOPR,ILLPY,MNPUY,MOPYY
AHHKP;
AHHOR;BDILT,BERTT,CDEPT,CDETY,CEEMM,CEINT,CELPT,CGIPR,DEENX,DGPRY,EEGMR,EGILP,EGIPR,EGNPP,EGPTY,EINPT,ENPTY,ETTWY,GGPRY,GILPT,GTUWY,IMNPY
AHHPY;ABCST,ACGRT,CNORS,COPST,DGORR,GGORR,GIOPP,GMOOR,GOORR,GOPTY,IMNOR,IMNTU,IMOTY
AHHRS;AAAJM,AADLM,CCUWY
AHHSS;AAKMN,CCLOR,CDDNU,CNRTY,DNORT,MMOTU,NORRT
AHHSY;AABDI,AAIMN,ABCPT,ABDEI,BILTT,CCRUW,CEILP,CGORY,CNOPR,COPPT,DEENP,DENOR,ILLWW,ILOPT
AHIIS;ABLRZ,ABMNP,AEGLM,AELMN,BDELL,BETTW,BHRUV,BMOPU,DEPUU,DERRR,DGHLO,EENPP,EETTV,EGMNR,EMMPX,ENRRV,GMNPP,GMNPW,GNPWW,IMMPX
AHIJJ;
AHIJR;AAIMY,MOUUY
AHIJS;
AHIKK;ENOPT
AHIKM;EEGTW,GMNTY
AHIKN;BCCLO,GMMTY
AHIKS;
AHIKT;DEGHN,DGMRU,EKNOP,GMMNY,GMRTU
AHIKU;CMNOU,HIRRU
AHIKZ;ACERZ
AHILP;AAIPR,ABGOO,AGMNU,BENNU,BEOOZ,EEGIM,EHIMP,GGMNU,GGOOY,IINPP,IOOPT
AHILR;AAIPP,BDHOT,BDMOO,DFLOS,DLOPS,DOOPS,FIMOP,IMOTU,MMOSU,QSSUY
AHILS;ABIRZ
AHILT;BDHOR
AHILY;CCELO,EGPRX,LMQSU
AHIMR;AAIJY
AHIMS;
AHIMT;AAMMS,EOOPY,HOPYY
AHINS;
AHINT;DEELU,EEEHZ,ENNOO
AHINU;ABCET,CKMOU,GNPPY
AHIOS;EEKNX,EELTX,EMTTU,ENTUX,ETTTU
AHIPP;AAILR,AMOOR,BOORY,CGORT,CIIRT,CIMOP,EEMNO,EHILM,GHOPY,IILNP
AHIPS;
AHIRS;
AHIRT;CDIIL,CIIPP
AHIRU;BBERR,BLOTW,DEEFG,DEGRT,DGKMT,DGLTY,GKMTT,GLLTT,GLRTT,HIKRU,ILMOT,JMOUY
AHIRY;AAIJM,ABCSX,ACCGO,ACCGP,ACNOP,APPSS,BISST,BOOPP,BOOPT,CCMNO,CQRSU,HMNOP,JMOUU,KMOST,LQSSU
AHIST;
AHISU;AELLL,EELOP
AHISV;CIKTT
AHISW;BEEMT,CCHOP,CEEFT
AHITU;AAGOP,ABOOP,BDNRY,CEEOV,DEGRR,DGKMR,GKMRT,MNPRT
AHJKO;CENNY
AHJPU;AKMRR
AHJTU;
AHKLS;ENNUY,EOPRW,LMOWY
AHKNS;
AHKNT;CCELO,CELNZ,DNORU,EIKOP,GIMMY
AHKNY;ABLSU,EILSS,ELNSU,FLLTU,GIMMT,ILPRS
AHKOO;
AHKOP;ATUUW,BCGLU,BEINO,BIOOT,EIKNT,LMRYY
AHKOS;AAIKT,ALNTT,ALNTW,EEINX,EERTT,ERRTW
AHKPS;
AHKRS;AMOUU,GMOPY
AHKSS;
AHKST;
AHKSU;AMORU
AHKSW;AAAPP,ALNOT
AHKSY;DNORW,GMOPR,IMORT,LLMOW
AHLLO;EPRXY
AHLLS;BCKUW
AHLLU;ABITY,ACCKW,AEHJL,CCEIR,CFTWY,DIPRW,FFITY,FRTWY,GIRTT
AHLMO;ABDDE,ABEFT,ACEGU,KPRYY
AHLMS;
AHLMU;DDDEE,DDEEM,ENPTT
AHLNO;ALLLW,IORRY,LLLOW
AHLNU;AMRTU,BOORY
AHLOR;AIILN,BRRUW,FIIMP,GMMPY,KMPYY
AHLOS;BFRRU
AHLOT;IIOPP
AHLPR;AACEG,AAIIP,ABCEE,CEENW,DILUW,FIIMO,MOOTU
AHLPS;
AHLPY;AANXY,ACCIN,CIINO,GGIOO
AHLRS;BFORU,IMMOU
AHLSS;AAACI,ABFGN
AHLST;
AHLSU;
AHLSW;
AHLSY;ILMQU
AHLTU;ABEEQ,ACRRY,AERVY,AMNRU,BCKLO,EKMRW,EMNPT,MOOPR
AHLTY;ACRRU,CFLUW,CGINN,FKLNU,FLRUW
AHMMU;DDEEL
AHMMY;GIKNT,GIOPR
AHMNU;ALRTU,BORRT,GGILP,IOORR,IPRTT,OOPRT
AHMNY;ACEKN,AGHIW,AIMOT,CCIOO
AHMOR;DNOOT,NOPTU
AHMOS;
AHMOU;ABCRY,ACEGL,CEORX,GIIPR,IJRUY
AHMOW;AENRT,CEHNN,CGINR,CINPT,EGGIR
AHMPR;INTTU,KLOYY,LOOTU,NOOTU,OOTYY
AHMPS;ALLOY
AHMRS;
AHMRT;ADGNU,ALNUU,BETYY,BNORU,DNOOO,LOOPU,NOOPU,OOPYY
AHMRU;ADGNT,AFINN,CILTT,IJOUY,INPTT,NOOPT
AHMSS;DITYY
AHMST;BLOOY
AHMSU;
AHMSW;BEEIT,CDEIT,CDOOT,EEINT,EELLO
AHMSY;EFLLU,EGLLP,EIPST,EIPTZ,ELPSY,ILLQU,ILPSY
AHMTU;ADGNR,ALNRU,CILRT,INPRT
AHNNO;AAIMT,ABETU,ACEIU,ACILY,AIILT,AITTX,CDEEG,CEHMW,CEIMY,CEJKY,CIIOT,CIMOR,DDEEP,DDEIR,DFIOT,DIOOT,DKRTU,EEILP,EELNT,EELTT,EGLOP,EIIRT,EILOP,EINOT,ILMOR
AHNOS;OPTTY
AHNRS;AEFUU
AHNSS;
AHNST;HNOOP
AHNSU;
AHNSW;AKLOT,CKORR,DLOPS,DORRT
AHNTU;ALMRU,AOPRT,BDIRY,BMORR,IMPRT,MOOPR
AHNTX;AIOPS,AIPSY,EGIMU,EGISU,EIMOO,EIMOU,HLOPY
AHOOW;CIKLR,DDEEN,DRRTY,EEHTW,EIKRR,LLLLN,RRTTT
AHOOY;CILLZ,DEGLP,EGLNP,EHMPT,EIMPT,HLLMT
AHOPS;ABEQU,AGNOZ,DEPPY,EGGOU,EGOUX,EGOUY,GOOUZ
AHORS;
AHORT;EEFFR
AHORY;ACCGI,BCGLY,BCGNZ,CDEHT,CGHSY,CLNNS,CNNSY,DEGIP,DESTX,DISTX,EEENT,EENPP,ELLPX,GHTUW
AHOST;
AHOSY;AEPPT,ARTWW,CGHRY,DEHNR,DEHTU,DENRV,DEPPP,DERTX,EEPRT,EGNUX,EIPPR,EIRTT,EPPRT,EPSST,EPTTU,GPPRT,INPRT,IPPRR,IPSST,NNTTW,NRRTT
AHOTZ;
AHPPY;AANRT,AEOST,AERSS,AGIRS,AGNOT,AIRSS,BIOOR,ELRSU,EOORT,EORST,GHIOP,GHOTY,GORRY,LOSTY,NORTT,OORTT
AHPRS;
AHPRU;AJKMR
AHPRY;BIOOP,DEGIO,DEHNO,DGHOR,DGOOX,DINOO,GGHOR,GOPRY,HIMNO
AHPSS;CDOOP
AHPST;AAGNU
AHPSU;ABEOQ,CEEQY,EGGOO,EGITT,EGOOX,EGOOY,GIOPX,GOOOZ
AHPSW;AAAKP,CCHIO
AHPUW;AKOTU,DILLR
AHQSU;CCEHO
AHRRU;EEKLO
AHRRY;ADIST,AEEPW,AHIMT,DEITT,EEIMT
AHRST;
AHRSU;AABCN,ANNTY
AHRSY;CCHUW,CGHOY
AHRTW;ACDGU
AHRTY;ABILO,ACGHP
AHRUU;ACGLM,ALMNT,BFLOR,CCCEO,CLMNO,HIIKR,IJMOY
AHRUW;ACDGT,BILOT,BLORR,CCDHR,DILLP,EKLMT
AHRXY;ABCIS,DGOOP,DIOST,EEOTT,EGILP,ELLOP,OOPRT,OOPTU
AHSST;
AHSSW;
AHSSY;BCFIK,CDLOO,CIINP,CILNO,DIMTY,EEMMP,EGNOP,EIMPT,EOPST,GILLN,GILMN,IMNPT,IOPST
AHSTT;AAMNN,NOOPY
AHSTW;BDDIN
AHSTY;BBDOO,BLMOO,IOPSS,LOOPP,LOPPY
AHSWY;CCHRU
AHTTU;AILMZ,ANOPR,BEEOR,BELMO,BORRY,CILMR,ELMNP,IMNPR,NOOPY
AHTUY;ABILL,AELRV,BDINR,CEEPR,CFLLW,EKOQU,ENOPR,FFILL,FKLLN,OOPRT,OOPRX
AHTWY;CFLLU,GHOTU
AHUZZ;
AIIKR;BDNNY,CGLLP,EENTZ,EMMNT,IIKPR,ILOTW
AIILL;AANTT,ACGST,ACIPT,AEKNZ,AGGNT,AGKNS,AGKNZ,AGNTT,AKNTY,ANUXY,AOPPS,CCCOT,CCOST,CEESX,CEEXZ,CGOST,CGOTY,CHHOP,CHPST,COPSS,EEGLS,EEGLZ,GNNST,GNNUU,HHPTY,IPPST,LNOSU,OSSTT,OTTVY
AIILM;ABTTY,BCCHO,BCHOP,BOTVY,CCORU,FHOPR,OPTTY
AIILO;ABCKU,ACHLR,ACHNP,ADEPR,ADMMT,ADRTU,AHLNR,AHNNT,AJNRT,ANRRT,ANTTT,BCCHM,BCGLO,BCHMP,BCHPR,BDEFM,BDMTY,BDRRT,BEPRZ,BGHNN,BPRTY,BPTTY,BRRTU,CCCLT,CCGHR,CCHOT,CCHRT,CCMRU,CCRTY,CDEHL,CDEPR,CDERZ,CDRTY,CDRUX,CGGHO,CGLTY,CHHLP,CHNPY,CHRTU,CPTTY,CQTUX,DMPRR,DQRTU,DRTUY,EFNTU,EGHTZ,EHPRU,EHPRZ,ELTVZ,EMMMR,EMPTZ,ENOTT,ENRRT,HMRTU,IKRTW,INNNT,INPTX,LLMMR,LRTTT,LTTVY,MMRTY,MPTTY
AIILT;AAENT,AAGMS,AALNT,ADMMO,ADORU,AJNOR,ALMUX,AMMSX,ANNST,ANORR,ANOTT,DEMMU,DENTT,DLORY,DOQRU,DORUY,ENOOT,FGOSU,FLSUV,GOOSX,IKORW,ILPPS,LORTT,LOSST,LSUVV,MOPTY,PPRUY
AIIMN;
AIIMR;AAHJY,ACGRT,CGMRT,EFNRR,EGQRU,GGNQU,MTTUY
AIINP;ADETV,ADGSU,AEHPT,AGLPZ,BEELX,BELXY,DETTU,EEHPS,EGGQU,EGHPT,GHSWW,HILPP
AIIPR;BCGHO,BCHLO,BELOZ,BLOTY,EHLOZ,IIKKR
AIISX;ACMOT,AELLR,AEMOT,BDELO,BMRTU,CEELL,EGLOO,GLOOT,HIMMP,ORSUY
AIJKN;ACHIT,AGLWY,BELOR,BGKMO,DEEHR
AIJLS;BILNO,CEITU,CGHKT,CIRTU,EIOTV
AIJLW;AGKNY
AIJNN;AAIRZ,AGIPZ,BCOTU,BGIOT,CDOTU,CLOTU,DGORU,EGILV,GLORU
AIJOR;ADGNU,DDEEP,DEEPZ,DEGNP,DGNNU,EEPTV,GINVZ
AIJOS;BGKMN,BGNNW,BILLN,EILTV,ELNSV
AIJOU;ABNRT,ACLNT,ADGNR,ADNRT,BCNNT,BILNT,BNORT,CDINT,CDNNT,CLNNT,CLRTY,DGNNR,ELNRZ,GLNNR,GLNTU,HMRUY
AIKKM;BCERR,BGJNO,BGNOO
AIKKS;DEFLR,GLNRY
AIKKT;EHNOP
AIKLM;
AIKLN;
AIKLP;CGILR
AIKLS;
AIKLT;AILNY,ALNOY,BIILY,IIORW
AIKLV;
AIKMO;ACCEM,CCCRR,CEQRU,EEMRV,EGLNV,GNNRW
AIKMR;
AIKMS;ACEGP
AIKMU;
AIKMV;CDDEE,EEMOR,EGLNO
AIKNS;
AIKNT;
AIKNU;CDKOR,CGKMR,CHMOU,DGLMR
AIKOP;BEHNO,EELNU,ENRRY
AIKOR;BFFMO,CDKNU,GMNNO,GMNNW,LSSYY
AIKOS;
AIKOT;
AIKPP;EEFNR
AIKPQ;
AIKPR;CGILL,IIIKR
AIKPS;
AIKPU;BCELN,BEGNR,EEGLL,EELNO
AIKRR;AATTU,IIIKP
AIKRS;BCLLW
AIKRT;CCKRT,DGHMU,GHMTU
AIKRU;BEGNP,BGLNW,BGNOT,CDKNO,CEFGL,CEOTY,EGNPT,EILTV
AIKSS;EPPQU
AIKST;
AIKSU;
AIKSV;BENRR,CEJKN,CGINR,CHITT,DENRW
AIKSZ;ILLNO
AIKTT;AARRU,AEMNR,GHMRU
AIKUZ;
AILLM;ABDDO,ACDHY,CGOOY,CHTYY,CNNOO,COPYY
AILLS;ADGNN,GOOSS
AILLV;
AILLZ;AAEPT,AAMNN,ABEER,AEERT,AGIKN,BDEIR,BEEIR,CEEIX,CGOOO,DEENP,EEIRT,EIOTV
AILMM;ACCUY,ADIOT
AILMN;
AILMP;CIILN
AILMR;CCCOY,CCLOY,CHOYZ
AILMS;
AILMU;
AILMX;ADERT,AHOOT,BIITY,DEILP,DINOY
AILNO;HORRY
AILNP;HIIPP
AILNS;
AILNU;
AILNV;
AILNW;AAMRY
AILNY;BEIPX
AILOP;AACGG,ACLOR,CCPRY,CFGRY,CGHLO,CGLRY,CHHIL,GHPRY
AILOU;ACFLS,ACPTT,ADLPS,AEFMN,BFFGN,BGHNX,BGLNW,BGMSY,CDGIO,CFGLO,CGOTT,CISSV,CLMTU,COQSU,CPSSY,DGGIN,DINSS,DNPSU,EEHPS,GHLPT,ILPSV
AILOV;
AILPP;AADOR,AAHIR,ACMRY,AMORX,CCORY,HIINP
AILPR;CFGOY,CNOOR,GHOPY
AILPS;
AILPT;HHILY,HIOOP
AILPU;EFQRY
AILPW;DHLRU,EEOPT,GHRTY
AILQU;
AILRS;
AILRT;
AILRU;ADIQV
AILRV;ADIQU,BCMUU
AILRY;
AILSS;
AILST;
AILSV;
AILSW;BCIIK
AILSX;EGLPS
AILSZ;ACHNO,AGINN,AOORT,BGNNO,CHORU,GIINN,GINOR
AILTT;CGOOU,DDEMY,EPUVY,ESTUX
AILTV;CEFFI,EIIMT,EIMTU
AILTY;AALLP
AILZZ;ADENT,AGJNV,CNOOP
AIMMS;
AIMMU;ACCLY,ACEPR,AGGNY,EELNR,FORTU,IPRRT,IRTTY,OORRT
AIMMX;
AIMNO;BGJKK,BGKKO
AIMNP;
AIMNR;
AIMNS;
AIMNT;
AIMNV;CDEEG
AIMNZ;AALLN,CEEIT
AIMOR;ABGTY,AGGOT,BBLPY,BCCOT,BCMPU,BLPVY,CCCLY,CCLLY,CDMUY,COTVY,EEKMV,EEMTV,FMTUU,LLPTU,LPPUY,OOTVY
AIMOT;ABGRY,AGGOR,BGOTW,EEMRV,EERRV,FMRUU,MORRU,OORVY
AIMOU;ABCLR,ADPPR,AETTZ,BCMPR,CCLNN,CDMRY,CDNNY,CEHPT,CEKQR,CFLLT,CHKNU,CLLTU,CLLTV,DIRTU,EOTTV,EOTTZ,EPRTU,FLLRT,FMRTU,GNNNW,HJRUY,LLPRT,LPPRY
AIMOW;BGOTT,CGHNR,CHNPT,EFLRT
AIMOX;ACNNY,AHLOT,AIMNT,DEERR,DILNY,DINRT
AIMPR;ADOPU,BCMOU,FOORV
AIMPS;EEOQU
AIMQU;CEKOR,CENTT,EINTY,GGINR
AIMRR;CGHOP,CHHTY,CHOTT,CHOYZ,CINOT,CLMOO,DQUUV,ILTUV,IMPTU,LOOPT
AIMRS;
AIMRT;OOOVY
AIMRU;HJOUY
AIMRZ;AACMO,ABHTV,ACGIN,GILNO,GINNO,GINOT
AIMSS;CCIQU
AIMST;
AIMSV;BIORS,IIPRV,OORTT
AIMSW;CDEHT
AIMSX;
AIMTY;ADDNR,AHMNO,CCFOP,CEHPS,CEMPR,CESST,CGGOS,CNOTU,COORV,COPRR,EEHRR,EHOOP,EHPSS,HHOPY,OOORV,OPSSS,OQSSU
AINNO;BLRRY
AINNP;AACRT
AINNW;ACCEH,DEFLL,EHRTV,EMPRT
AINOP;CDDGK,CFGIY,CGIVW,EHKKT
AINOR;AHILL,BLNRY
AINOV;BEHPR,BEILL,BFILR,BILLY,EERTV,EFFRT,EFRTU,EIPPT,GIJRZ
AINOX;BBEGT,BEELR,BEHOP,BELRY,EGLLY,EHILP,EHMOT,FLRUY,IILPT
AINPS;
AINPT;
AINPV;ACCET,ADEIT,AEEPR,BEHOR,DERUU,EIOPT
AINQU;ABIRU,ADENR,BBEGR,DERRU,GGIMR
AINRS;
AINRT;IIITX
AINRU;
AINRV;ABILY,BFILO
AINRW;AALMY
AINRY;AEHMP,AMNOS,ANOSX,AOPSS,EESSS,EETTX,EINPT,EKOPR,EOSST,ESSST,FLLMO,HHMOP,HLOOR,IIOTT,LOSUV,OOPST
AINRZ;DHOOP,DIIOP
AINSS;DIIOZ,MMMMO
AINST;
AINSU;EENSS
AINSV;
AINSW;
AINSY;AAHHM,ABCRR,ANORX,EERSS
AINSZ;ACHLO,BILLO,COOPT,IKLLO
AINTT;
AINTU;
AINTW;CEKPT,CHMOP,DEINO
AINUX;BEERT,CELRU,CLRUY,DEEMN,DEEPT,EIOTV,FLORY
AINXY;ACELL,ACMNO,AEGHN,AILLU,ANORS,BEILP,BELOR,BELPS,CILOT,CLOOP,CLRUU,DILMO,EGLLO,FLORU,GHPSY
AINYZ;EEGPR
AIOPS;ORRUU,PPRUU
AIOPT;BHIOX,IILNX
AIORT;AGGMO,MMORU
AIORX;ACEHP,BCCER,BCCLY,BEELN,BEETT,BELNY,CDIOT,CDJTU,CETTY,EFLOT
AIOSS;DFITU,DIINZ,IMNRY,INTXX,MQTUY
AIOST;
AIOSV;EGMOT,EIPPT,EQTTU
AIPPP;CEMOT,CHIMO,GHHOY,HIILN,ORSUU
AIPPS;
AIPPU;ADGLN,CCCIN,CCCNO,CDGMN,GNNRW
AIPRS;
AIPRT;
AIPRU;ACEMM,ADEOQ,AEELT,BCMMO,CDEIM,CORTT,EETTV,EFGRT,IMMRT
AIPSS;
AIPST;
AIPSV;
AIPTT;ADIVY
AIPZZ;CLNOO
AIQRU;ABINU,BBEGN,BEIIL,BITUY,DMRUV,EGLNR,GGIMN
AIQSU;OOTTU
AIRRS;AALLW
AIRRU;AAKTT,ADQTX,AEGMT,AFINT,AGLNT,BBEHR,BDEFT,BENNT,BGGLN,DDENN,DEELL,DEGHT,DMQUV,EEGMT,EEILQ,EGIMQ,GHLTT,GILNZ,ILMTV,IMMPT
AIRRW;AAITY,DLMOS
AIRSS;ADGII
AIRST;
AIRSU;
AIRSV;
AIRSW;AKKKO
AIRSZ;ALOOT
AIRTT;AAKRU,AIMNV,ANOQU,GHKMU,IIINX
AIRVX;AEELT,CEEET,CEETT,EGNOT
AIRVY;MOOOT
AIRWZ;AENRT,EEEHT
AISST;
AISSV;IMMPR
AISTT;
AISTU;BBEQS,BCKKO
AISTV;
AISTW;
AISTX;ADOPR,AHNOP,AINNU,DHORY,HOOPT,INNOT,NOOTU,OOPRT
AISTZ;AAMNN,ABDER,AGIMN,ALLOP,ALOOR,CEEIP,CEEKP,CGMOY,CLOOP,CNOOP,DEERV,GIINN,GNYYY,HOOPS
AISVV;IIMPR,IOPRU,OPRRU
